date,value
2025-06-13,400562.8861150496
2025-06-16,400476.5855019267
2025-06-17,400558.6609416795
2025-06-18,399733.97505124233
2025-06-19,398374.19309952896
2025-06-20,398634.4802966536
2025-06-23,398662.256880122
2025-06-24,399950.57315920346
2025-06-25,399660.36968139536
2025-06-26,399211.8315552707
2025-06-27,399191.04047653213
2025-06-30,398534.18020312284
2025-07-01,397902.2535505521
2025-07-02,397869.84718304593
2025-07-03,397833.0237658712
2025-07-04,397222.40597434866
2025-07-07,397148.85028145975
2025-07-08,397578.81615765975
2025-07-09,399560.51906437427
2025-07-10,402225.4120022003
2025-07-11,404572.5861703273
2025-07-14,404613.5130761211
2025-07-15,403741.4647501034
2025-07-16,403841.00299718714
2025-07-17,404006.26122154377
2025-07-18,403990.67423599306
2025-07-21,404930.44884776854
2025-07-22,405348.1063101637
2025-07-23,404856.1593794672
2025-07-24,406027.6439162324
2025-07-25,405293.87215168605
2025-07-28,404901.1900436913
2025-07-29,404667.65868481295
2025-07-30,404630.74180431396
2025-07-31,403778.99306675175
2025-08-01,405945.32318560634
2025-08-04,407160.18241085415
2025-08-05,408581.12321483693
2025-08-06,408715.29860955285
2025-08-07,409665.1153505627
2025-08-08,413426.145075559
2025-08-11,417381.4474962941
2025-08-12,414570.75226938457
2025-08-13,412526.99576508056
2025-08-14,411522.68553126854
2025-08-15,412971.14815435774
2025-08-18,413889.4033682788
2025-08-19,414562.4078016834
2025-08-20,415041.66017584584
2025-08-21,414850.97013157955
2025-08-22,415506.3924234515
2025-08-25,416959.8349336764
2025-08-26,417863.501933843
2025-08-27,416786.41150797415
2025-08-28,417941.8432580541
2025-08-29,415120.96191992506
2025-09-01,418069.2037157513
2025-09-02,416670.04158295604
2025-09-03,415873.68523167865
2025-09-04,414283.2252179225
2025-09-05,417025.8774270305
2025-09-08,416491.42058756604
2025-09-09,415483.92920972063
2025-09-10,416006.1566951279
2025-09-11,416516.9757373167
2025-09-12,417435.46273614606
2025-09-15,417938.9390396497
2025-09-16,418911.6308934833
2025-09-17,420433.1218693786
2025-09-18,418225.7552690235
2025-09-19,417807.20224395633
2025-09-22,416989.37361647916
2025-09-23,417625.1483236722
2025-09-24,420489.0445795415
2025-09-25,420126.427175604
2025-09-26,421017.08038341766
2025-09-29,419657.44092496147
2025-09-30,419603.4098614502
2025-10-09,420374.4502684481
2025-10-10,421478.11720331287
2025-10-13,421909.5637620044
2025-10-14,423033.179035068
2025-10-15,422048.43463627977
2025-10-16,421596.3927451035
2025-10-17,420014.32188919315
2025-10-20,420887.7492165045
2025-10-21,421574.8376024418
2025-10-22,422370.5505123248
2025-10-23,424499.68871324044
2025-10-24,422797.5489817969
2025-10-27,422375.535826753
2025-10-28,422574.95822735166
2025-10-29,422439.8160015345
2025-10-30,422271.9336875996
2025-10-31,422053.4491384353
2025-11-03,422521.98197557067
2025-11-04,422209.0498636829
2025-11-05,423026.556901354
2025-11-06,421822.6956119278
2025-11-07,421434.2015270642
2025-11-10,420875.3884517603
2025-11-11,420350.9379692788
2025-11-12,420899.22107808664
2025-11-13,420123.3199667933
2025-11-14,420702.11241534963
2025-11-17,420511.17527658446
2025-11-18,420361.0669811053
2025-11-19,419389.23373405833
2025-11-20,419709.55891995295
2025-11-21,417804.62141107453
2025-11-24,418160.7736168971
2025-11-25,418651.9358710603
2025-11-26,418627.69641604647
2025-11-27,418798.1460121738
