id,col,size,entry_idx,entry_price,entry_fees,exit_idx,exit_price,exit_fees,pnl,return,direction,status,parent_id
41,6,3106.635041403331,521,4.78478,4.609325216155412,534,4.37562,4.215280870158225,-1279.9353996269008,-0.08610648083218553,0,1,41
42,7,1266.7317559059682,12,11.691679999999998,4.5924789241271355,26,10.25973,4.030170997386553,-1822.519187791062,-0.12305819227132188,0,1,42
43,7,1174.2346299816043,293,11.06105,4.027673065727868,332,11.548440000000001,4.2050892327820755,564.0774540082261,0.043429767233615635,0,1,43
44,7,940.8361338554811,534,14.40439,4.202482885424615,540,14.22,0.0,-177.68325760703556,-0.013111055260131997,0,0,44
45,8,5155.201013582477,156,2.87287,4.5924789241271355,181,3.6363600000000003,5.812621694902741,3925.5393212410577,0.26505606953165134,0,1,45
46,8,3453.1050346460893,283,5.425419999999999,5.809018986292358,293,4.83516,5.17716775518901,-2049.215964491677,-0.10938167709364757,0,1,46
47,9,1918.9918169885484,461,7.717709999999999,4.5924789241271355,491,8.04195,4.785365235215628,612.836062581025,0.04137926147778989,0,1,47
48,10,2004.800394170963,303,7.387379999999999,4.5924789241271355,315,6.7332600000000005,4.18595111363723,-1320.1584638728727,-0.08913832850933215,0,1,48
49,11,1082.3282303571111,22,13.683669999999998,4.5924789241271355,33,15.50448,5.203400284312239,1960.9181859080925,0.13240302146957356,0,1,49
50,11,991.9348162522492,422,16.906889999999997,5.200175175919867,431,13.856129999999999,4.262067107310356,-3035.617302312941,-0.1810089955930742,0,1,50
51,12,855.2269889584802,65,17.3173,4.5924789241271355,97,14.37561,3.8125769929698397,-2524.217737066368,-0.1704375315790667,0,1,51
52,12,807.0027844489937,303,15.225209999999999,3.8102139277852984,311,21.16881,5.297129470176228,4787.394406253077,0.3896376212360213,0,1,52
53,13,1476.589511874422,67,10.030019999999999,4.5924789241271355,97,9.70029,4.441547407603505,-495.9098860820817,-0.03348429718575576,0,1,53
54,13,856.2973633690337,486,16.716699999999996,4.438794501611483,516,15.66432,4.159437933640335,-909.7484516975511,-0.06355448000411346,0,1,54
55,14,1321.0202597305097,101,11.211199999999998,4.5924789241271355,128,10.27971,4.211018603987839,-1239.3206592644854,-0.08368008468455937,0,1,55
56,15,2884.098812667,67,5.135129999999999,4.5924789241271355,115,4.98501,4.4582610408612675,-442.01165372255645,-0.029845038359174222,0,1,56
57,16,1988.6326490566812,24,7.447439999999999,4.5924789241271355,26,6.50349,4.010556289512228,-1885.7728242906912,-0.12732913669504886,0,1,57
58,17,832.1387462869352,26,17.79778,4.5924789241271355,56,17.12286,4.41837452850648,-570.6379360966113,-0.03853000469234975,0,1,58
59,18,1345.038809907428,33,11.011,4.5924789241271355,63,11.10888,4.633291167727372,122.42662862188436,0.008266359940133985,0,1,59
60,19,4524.595385009697,26,3.2732699999999997,4.5924789241271355,50,4.31568,6.054588801465382,4705.836407562369,0.31774245523366473,0,1,60
61,20,6139.181290033904,128,2.41241,4.5924789241271355,156,2.17782,4.146019857089107,-1448.9290376102688,-0.09783303752969148,0,1,61
62,21,2573.1177233011667,244,5.755749999999999,4.5924789241271355,248,5.20479,4.152996592468811,-1426.4304163466054,-0.09631390967641539,0,1,62
63,22,2075.0949381461023,249,7.137129999999999,4.5924789241271355,283,6.07392,3.908537800478356,-2214.76270591092,-0.1495428397819339,0,1,63
64,23,1658.680146746828,244,8.92892,4.5924789241271355,248,8.16183,4.198048268458026,-1281.1474809606102,-0.08650427062502042,0,1,64
65,24,3803.451647553138,248,3.89389,4.5924789241271355,270,5.20479,6.138121801207111,4975.214164052076,0.33593109213460476,0,1,65
66,25,237.18222040688858,115,62.44237999999999,4.5924789241271355,122,53.69625,3.9494066987822514,-2082.968418990207,-0.1406439668324491,0,1,66
67,26,2134.9822379482985,248,6.936929999999999,4.5924789241271355,249,6.23376,4.127089731446102,-1509.9750289136773,-0.10195491969451702,0,1,67
